deckID, location, number, name, deckName
0,MB,1,"Senseis Divining Top ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Bloodstained Mire ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Dire Fleet Daredevil ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Mox Diamond ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Condescend ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Damnation ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Bayou ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Battlefield Forge ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Kolaghans Command ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Sulfurous Springs ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Mind Twist ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Sylvan Library ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Evolving Wilds ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Lingering Souls ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"The Abyss ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Mulldrifter ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Creeping Tar Pit ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Maelstrom Pulse ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Sacred Foundry ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Forbid ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Arid Mesa ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Forest ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Saheeli, the Gifted ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"City of Brass ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,2,"Island ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Dreadbore ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Liliana, the Last Hope ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Swamp ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Plains ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Vendilion Clique ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Ancestral Vision ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Volcanic Island ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Nicol Bolas, the Ravager ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Vampire Nighthawk ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Incinerate ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Tasigur, the Golden Fang ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Chain Lightning ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Jace Beleren ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,1,"Coldsteel Heart ", (WUBRG) 5 Color Control 11.6.18.dck
0,SB,1,"Tinker ", (WUBRG) 5 Color Control 11.6.18.dck
0,SB,1,"Dust Bowl ", (WUBRG) 5 Color Control 11.6.18.dck
0,SB,1,"Rishadan Port ", (WUBRG) 5 Color Control 11.6.18.dck
0,SB,1,"Brimaz, King of Oreskos ", (WUBRG) 5 Color Control 11.6.18.dck
0,SB,1,"Triskelion ", (WUBRG) 5 Color Control 11.6.18.dck
0,SB,1,"Goblin Guide ", (WUBRG) 5 Color Control 11.6.18.dck
0,SB,1,"Cultivate ", (WUBRG) 5 Color Control 11.6.18.dck
0,SB,1,"Councils Judgment ", (WUBRG) 5 Color Control 11.6.18.dck
0,SB,1,"Thalia, Guardian of Thraben ", (WUBRG) 5 Color Control 11.6.18.dck
0,SB,1,"Hero of Bladehold ", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,,", (WUBRG) 5 Color Control 11.6.18.dck
0,MB,,", (WUBRG) 5 Color Control 11.6.18.dck
1,MB,8,"Island ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,3,"Plains ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Swamp ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Caves of Koilos ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Godless Shrine ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Scrubland ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Terramorphic Expanse ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Tundra ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Brainstorm ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Condescend ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Land Tax ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Mind Twist ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Ancestral Vision ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Coldsteel Heart ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Mana Leak ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Memory Lapse ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Scroll Rack ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Banishing Light ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Coalition Relic ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Forbid ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Jace Beleren ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Psychatog ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"True-Name Nemesis ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Control Magic ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Elspeth, Knight-Errant ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Supreme Verdict ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Cloudgoat Ranger ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Aetherligng ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Catastrophe ", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
1,MB,1,"Eternal Dragon", 3-0 Esper (UBW) Psychatog Control 4.15.18.txt
2,MB,5,"Plains ", Abzan (BGW) Aggro 6.16.18.txt
2,MB,3,"Swamp ", Abzan (BGW) Aggro 6.16.18.txt
2,MB,1,"Polluted Delta ", Abzan (BGW) Aggro 6.16.18.txt
2,MB,1,"Scrubland ", Abzan (BGW) Aggro 6.16.18.txt
2,MB,1,"Windswept Heath ", Abzan (BGW) Aggro 6.16.18.txt
2,MB,1,"Overgrown Tomb ", Abzan (BGW) Aggro 6.16.18.txt
2,MB,1,"Wooded Foothills ", Abzan (BGW) Aggro 6.16.18.txt
2,MB,1,"Plateau ", Abzan (BGW) Aggro 6.16.18.txt
2,MB,1,"Savannah ", Abzan (BGW) Aggro 6.16.18.txt
2,MB,1,"Chrome Mox ", Abzan (BGW) Aggro 6.16.18.txt
